Package_Title,Url,Price,Duration,Rating,Reviews,Group_size,Highlights,Itinerary
Langtang valley Yoga &amp; meditation Trek,https://www.tourradar.com/t/119367,"US,$,999",10 days,5.0,1,10,,"Arrived in Kathmandu,,Explore Kathmandu city &amp; Evening yoga,,Drive from Kathmandu to Syabrubesi (1,550m/5,100ft): 7-8 hours, 1 hour morning &amp; evening yoga,,Trek from Syabrubesi to Lama Hotel (2,380m/7,830ft): 6 hours walk, 1 hour morning &amp; evening yoga,,Trek from Lama Hotel to Langtang Valley (3,420m/11,220ft): 6 hours walk, 1 hour morning &amp; evening yoga,,Trek from Langtang valley to Kyanjin Gompa (3880m/12729ft): 6 hours walk, 1 hour morning &amp; evening yoga,,Explore Kyanjin Gompa/ Kyanjin Ri Hiking around, 1 hour morning &amp; evening yoga,,Trek from Kyanjin Gompa to Lama hotel: 6 hours walk, 1 hour morning &amp; evening yoga,,Trek from Lama Hotel to Syabrubesi: 5 hours walk, 1 hour morning &amp; evening yoga,,Drive back Syabrubesi to Kathmandu, 1 hour morning &amp; evening yoga.,"
Ghorepani Poon Hill Sunrise View Trek - 9 Days,https://www.tourradar.com/t/140579,"US,$,899",9 days,4.8,2,20,"Hike moderate and the most popular short trek of Nepal,Get familiar with the locals of the Ghandruk village,Admire stunning views of Annapurna and Machapuchre,Learn about local life at the Ghandruk museum","Day 1: Arrival in Kathmandu,,Day 2: Kathmandu to Pokhara flight then drive Nayapul and trek up to Tikedhunga ,,Day 3:  Trek from Tikedhunga to Ghorepani 6-7 hrs ,,Day 4:  Trek from Ghorepani to Poon hill (3210m) and poonhill to Tandapani (2700m) ,,Day 5:  Trek from Tadapani to Ghandruk (1940m) ,,Day 6:  Trek from Ghandruk to Nayapul and Nayapul to Pokhara ,,Day 7:  Drive back to Kathmandu (tourist bus) ,,Day 8:  Kathmandu valley sightseeing and market visit ,,Day 9:  Final departure to the destination ,"
Buddhist Circuit Tour in Nepal 9N /10D,https://www.tourradar.com/t/160278,"US,$,1,415",10 days,5.0,2,25,,"Day 1: Arrival in  Kathmandu International Airport.,,Day 2: Sightseeing of Buddhist heritage sites such as Swoyambhunath, Boudhanath and Kapan. Overnight in Kathmandu. ,,Day 3: Visit Monastries in Patan and Four Ashokan Stupas,,Day 4: Drive to Namo Buddha. Overnight in Kathmandu hotel.,,Day 5: Drive to Lumbini. Overnight in Lumbini.,,Day 06: Sightseeing in Lumbini,,Day 7: Drive to Pokhara. Overnight in Pokhara. ,,Day 8:  Sightseeing in Pokhara,,Day 9: Drive back to Kathmandu,,Day 10: Departure,"
Annapurna Mini Trek - 8 Days,https://www.tourradar.com/t/140576,"US,$,999",8 days,5.0,2,33,"See the stunning Dhaulagiri and Annapurna Massive.,Admire the beautiful views from Mount Machhapuchre,Visit settlements from the historic community of Nepal,Sight the Phewa Lake and beautiful Pokhara Valley,Observe the sunrise view and reflection in mountains","Day 01: Arrival in Kathmandu,,Day 02: Sightseeing around Kathmandu Valley,,Day 03: Drive from Kathmandu to Pokhara,,Day 04: Drive to Phedi and trek to Australian Camp,,Day 05: Australian Camp to Sarankot trek,,Day 06: Observe sunrise view and trek from Sarangko to Pokhara Valley,,Day 07: Drive from Pokhara to Kathmandu,,Day 08: Departure to your own destination from TIA,"
Kathmandu and Pokhara Exploration Nepal Tour - 7 Days,https://www.tourradar.com/t/142920,"US,$,899",7 days,5.0,2,28,"Admire a sunrise like no other from Nagarkot,Visit the infamous Devi's Fall and Shiva Cave,Relax on a cruise of tranquil Fewa Lake,Hike up to the fascinating World Peace Pagoda","Day 01 : Arrival in Kathmandu and move to Nagarkot,,Day 02 : Drive to Bandipur,,Day 03 :Drive to Pokhara,,Day 04 : Pokhara Exploration,,Day 05: Drive back to Kathmandu,,Day 06 : Sightseeing in Kathmandu Valley,,Day 07 : Departure to your next destination,"
Langtang Valley Trek,https://www.tourradar.com/t/149661,"US,$,629",10 days,5.0,1,15,,"Day 1: Arrival at  Kathmandu and transfer to Hotel,,Day 2: Kathmandu - Syaprubesi by local bus/jeep - 6 hrs drive approx,,Day 3: Trek from Syaprubesi to Lama Hotel 2400m/7870ft- 6 hrs walk approx,,Day 4: Trek from Lama Hotel to Langatang village 3450m/11315ft- 5 hrs walk approx,,Day 5: Trek from Langatng to Kyangjin Gompa 3870m/12697ft- 4 hrs walk approx,,Day 6: Rest or Side Trip to Kyanjing Ri 4950m/16236ft- 5 hrs round trip,,Day 7: Trek back from Kyanjing Gompa to Lama Hotel- 6 hrs walk approx,,Day 8: Trek from Lama Hotel to Syabrubeshi 1520m/4985ft- 6 hrs walk approx,,Day 9: Drive back to Kathmandu 6 hrs by local bus,,Day 10: Final departure, you will be transferred to the Kathmandu airport by our driver,"
A adventure sports tour in Nepal,https://www.tourradar.com/t/215403,"US,$,899",9 days,5.0,1,20,,"Day 1: Arrival at Tribhuwan International Airport, Kathmandu and Pre-trip meeting.,,Day 2: Drive from Kathmandu to Charaudi (Trishuli River) for rafting. Overnight at Resort: 85 km/2-3 Hours drive,,Day 3: Drive to Chitwan from Charaudi: 70 km/2-3 Hours drive,,Day 4: Full Day Jungle Activities in Chitwan National Park.,,Day 5: Drive to Pokhara from Chitwan: 150 km/3-4 hours drive,,Day 6: Full day activities Paragliding, Bungee, Zip flyer and Hot air ballooning,,Day 7: Full day sightseeing in Pokhara,,Day 8: Drive to Kathmandu from Pokhara: 200 km/ 5-6 hours drive,,Day 9: Departure day: Transfer to the Tribhuwan International Airport for your departure.,"
Nepal Temples &amp; Pagodas Tour,https://www.tourradar.com/t/76221,"US,$,384",5 days,5.0,1,16,,"Day 01: Arrival &amp; Overnight in Kathmandu,,Day 02: KTM Sightseeing Tour: Kathmandu Durbar Square, Swayambhu, Pashupatinath, Boudhanath,,Day 03: Sightseeing Tour: Patan, Khokana, Bungmati, Sunset at Nagarkot,,Day 04: Sightseeing: Nagarkot Sunrise, Changu Narayan &amp; Bhaktapur,,Day 05: Fly Home, Transfer to Airport,"
Tamang Heritage Trail Trek 10 Days,https://www.tourradar.com/t/179915,"US,$,1,200",10 days,5.0,1,8,,"Day 1: Arrival In Kathmandu and transfer to hotel ,,Day 2: Kathmandu Valley Full Day Sightseeing ,,Day 3: Drive From Kathmandu To Syabrubesi | Drive On 4WD 6-7 Hrs ,,Day 4: Trek From Sybrubensi To Gatlang | Trekking 4-5 Hrs ,,Day 5: Trek From Gatlang To Tatopani | Trekking 5-6 Hrs ,,Day 7: Trek From Nagthali To Briddhim | Trekking 5-6 Hrs ,,Day 7: Trek From Nagthali To Briddhim | Trekking 5-6 Hrs ,,Day 8: Trek From Briddhim To Syabrubesi |Trekking 4 Hrs ,,Day 9: Drive Back To Kathmandu | Drive 6-7 Hours ,,Day 10: Departure and return back to your sweet country ,"
Nepal on a Shoestring,https://www.tourradar.com/t/65739,"US,$,955",8 days,3.0,1,35,,"Day 1: Arrive into Kathmandu,,Day 2: Kathmandu city tour,,Day 3: Tourist coach and local transfer to Chitwan National Park. Evening village walk,,Day 4: Chitwan National Park wildlife safari,,Day 5: Chitwan to Pokhara,,Day 6: Sarangkot walk and free time,,Day 7: Pokhara, return to Kathmandu,,Day 8: Kathmandu, tour ends. Transfer to airport for departure,"
Mardi Himal Trek,https://www.tourradar.com/t/141442,"US,$,533",7 days,4.0,1,9,," Day 1:  Arrival In Kathmandu( TIA) International Airport(1,365m) Transfer To Hotel Evening Welcome Dinner With Culture Dance. O/N At Hotel,,Day 2: Fly Kathmandu To Pokhara - Drive To Kande Drive (30 Min) - Trek To Pitam-Deurali (2100 M) Walking 3-4 Hrs. O/N At Tea House,,Day 3: Pitam Deurali (2100 M) - Low Camp (2990 M) Walking 3 Hrs. O/N At Tea House,,Day 4:  Low Camp (2990 M) - High Camp (3540 M) Walking 3 Hrs. O/N At Tea House,,Day 5: Day Hike To Mardi Himal Base Camp (4500 M) And Return To High Camp (3580 M) Walking 6-7 Hrs. O/N At Tea House,,Day 6: High Camp (3580 M) - Sidhing (1700 M) Walking 6 Hrs. O/N At Tea House,,Day 7: Sidhing (1850 M) - Lumre 3 Hrs - Drive To Pokhara Walking 3 Hrs. O/N At Tea House,"
8 Days -Temple Tour - Pashupatinath-Dakshinkali-Manakamana-Bindhya Bashini- Varahi- Muktinath,https://www.tourradar.com/t/171808,"US,$,1,499",8 days,5.0,1,200,,"Day 1 Arrival Kathmandu (1300m/4265ft),,Day 2 Pashupatinath &amp; Dakshinkali Temples,,Day 3 Drive to Manakamana Temple; Drive to Pokhara,,Day 4 Bindhya Basini &amp; Varahi Temples,,Day 5 Fly to Jomsom; Drive to Muktinath Temple,,Day 6 Drive back Jomsom; Fly back Pokhara,,Day 7 Fly back Kathmandu,,Day 8 Fly back home or extend your holidays,"
Mardi Himal Trek in Annapurna Region - 7 Days,https://www.tourradar.com/t/142437,"US,$,1,350",7 days,4.7,3,15,"Admire the close exquisite views of Annapurna,Bask in the colours of the sunrise over the mountains,Walk in aromatic and colourful Rhododendron forests,Enjoy beautiful homestays and warm local hospitality","Day 1: Arrival In kathmandu,,Day 2: Fly to Pokhara, drive to Kande, Trek to Australian Camp ,,Day 3: Trek to Forest Camp ,,Day 4: Trek to High Camp ,,Day 5: Trek to Mardi Himal Base Camp ,,Day 6: Trek to Sidhing, Drive to Pokhara ,,Day 7: Drive to Kathmandu,"
Adventure Tour in Nepal - 11 Days,https://www.tourradar.com/t/132642,"US,$,1,440",11 days,4.0,1,1,,"Day 1: Arrival in Kathmandu International Airport (1,400 m),,Day 2: Ride from Kathmandu to Kakani (2,300). Distance: 27 km Ride out of Kathmandu through the bustling back streets of Thamel. Leaving the city behind, ride outside the Queen forest (Raniban) for a while and then bike up to Kakani mostly climbing on pav,,Day 3: Ride from Kakani to Shivapuri Village (2,000 m). Distance: 30 km,,Day 4: Ride from Shivapuri to Mulkharka (2,430 m). Distance: 20 km,,Day 5: Ride from Chisapani to Nagarkot (2,175 m). Distance: 34 km,,Day 6: Ride from Nagarkot Dhulikhel to kathmandu(1,300 m). Distance: 39.9 km,,Day 7: Drive from Kathmandu to Chitwan National Park (415 m) by Tourist Vehicle,,Day 8: Full Day Jungle Activities inside the Chitwan National Park,,Day 9: Early Morning Activities and Drive to pokhara by car,,Day 10: early in morning Paragliding fly back to kathmandu 25 min,,Day 11: Transfer to the International Airport for Your Flight Departure,"
Annapurna Base Camp Trekking,https://www.tourradar.com/t/142873,"US,$,625",7 days,4.0,1,6,,"Day 01: Drive from Pokhara to Nayapul and trek to Chomrong (1,951m / 6,400ft) - 06 hrs,, Day 02: Trek to Dovan 2,130m via Bamboo(2,050 m / 6,725ft)-06 hrs. ,,Day 03: Trek to Machhapuchare Base Camp (3,720 m / 12,204ft)-06 hrs.,,Day 04: Trek to Annapurna Base Camp 4,095 m /13,435 ft - 04 hrs. ,,Day 05: Trek to Bamboo 2,050m / 6,725 ft - 06 hrs. ,,Day 06: Trek to Jhinu-Danda with hot spring 1,700m / 5,577ft - 06 hrs. ,,Day 07: Trek to Kyumi drive to Pokhara 860m / 2,821ft -05 hrs. ,"
Best Nepal Tour of Kathmandu and Pokhara with Short Hiking,https://www.tourradar.com/t/127685,"US,$,399",8 days,5.0,4,15,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley.,,Day 3: Drive from Kathmandu to Pokhara: 200 KM/6-7 hours,,Day 4: Drive to Phedi and trek to Dhampus: 1 hrs drive/3-4 hrs trek,,Day 5: Trek from Dhampus to Sarangkot: 4-5 hours trek,,Day 6: Drive to Pokhara from Sarangkot and Sightseeing,,Day 7: Drive back to Kathmandu from Pokhara: 6-7 Hours drive,,Day 8: Departure day: transfer to the international airport for your final departure!!,"
5 Days - Discover the History of Kathmandu Valley,https://www.tourradar.com/t/171811,"US,$,699",5 days,5.0,1,200,,"Day 1 Arrival Kathmandu (1300m/4265ft),,Day 2 Kathmandu,,Day 3 Patan &amp; Bhaktapur,,Day 4 Nagarkot (2175m/7136ft),,Day 5 Back Kathmandu,"
Annapurna Family Hiking Tour - 9 Days,https://www.tourradar.com/t/168506,"US,$,1,588",9 days,5.0,2,16,"Admire the alpine vistas of Annapurna and Dhaulagiri,Fall in love with the quaint lakeside city of Pokhara,Hike to the captivating World Peace Pagoda,Wake up and watch the sunrise over the Himalayas","Day 01 : Arrival at Tribhuwan International Airport,,Day 02 : Visit Pashupatinath, Bouddhanath, Bhaktapur Durbar Square and drive to Nagarkot,,Day 03 : Wake-up for Sunrise and Drive back to Kathmandu,,Day 04 : Kathmandu to Pokhara (910m) Duration: 6 hrs,,Day 05 : Trek to Australian Camp via Dhampus,,Day 06 : Australian Camp to Sarangkot (1991m) Duration: 6 hrs,,Day 07 : Sarangkot to Pokhara and Pokhara sightseeing,,Day 08 : Pokhara to Kathmandu,,Day 09 : Departure,"
Mardi Himal Trek,https://www.tourradar.com/t/75651,"US,$,850",11 days,4.8,2,12,"Enjoy the scenic drive to Pokhara and boating at Fewa Lake,Watch out the beautiful Danphe pheasant along the trail,Bask in the panoramic views of the Annapurna Himalayas","Day 01 : Arrive at Tribhuwan International Airport, Kathmandu,,Day 02 : Drive to Pokhara (910m) Duration: 6 hrs,,Day 03 : Drive to Phedi and trek to Pothana (1,925m) Duration: 4 hrs,,Day 04 : Trek to Forest Camp at Kokar (2,600m) Duration: 4 hrs,,Day 05 : Trek to Low Camp (3,150m) Duration: 5 hrs,,Day 06 : Trek to High Camp (3,600m) Duration: 4 hrs,,Day 07 : Day walk to Upper view point (4,200m) Duration: 4 hrs,,Day 08 : Trek to Siding village (1,750m) Duration: 6 hrs,,Day 09 : Trek to Lumre and drive to Pokhara (910m) Duration - 3 hours walking and 2 hours driving,,Day 10 : Pokhara to Kathmandu,,Day 11 : Farewell,"
Langtang Valley Trek,https://www.tourradar.com/t/75671,"US,$,750",10 days,5.0,2,12,"Meet the locals at the old village of the area, Langtang Village,Marvel in the close views of Kyanjin Gompa and Langtang Liring,Trek surrounded by spectacular snow-capped scenery","Day 01 : Arrive at Tribhuwan International Airport Kathmandu,,Day 02 : Drive from Kathmandu to Syabru Bensi (1462m/4795ft) Duration: 7 hrs,,Day 03 : Syabru Bensi to Lama Hotel (2500m/8200ft) Duration: 5 hrs,,Day 04 : Lama Hotel to Langtang Village (3307m/10845ft) Duration: 5 hrs,,Day 05 : Langtang village to Kyanjing Ri (4773m/15655ft) and back to Kyanjing Gompa (3798m/12495ft) Duration: 7-8 hrs,,Day 06 : Kyangjuma Gompa Exploration and climb Chorkari Ri (5050m/16564ft) Duration: 7 hrs,,Day 07 : Kyanjin Gompa- Lama Hotel (2500m/8200ft) Duration: 5-6 hrs,,Day08 : Lama Hotel to Syabru Bensi (1462m/4795ft) Duration: 5-6 hrs,,Day 09 : Drive from Syabru Bensi to Kathmandu by bus,,Day 10 : Farewell,"
Best Nepal Tour,https://www.tourradar.com/t/152851,"US,$,1,099",10 days,5.0,4,28,,"Day 1: Arrival Kathmandu – transfer to hotel,,Day 2: Full day Sightseeing Tour,,Day 3: Drive from Kathmandu to Pokhara,,Day 4: Hike from Pokhara to Naudanda and hike back to Pokhara,,Day 5: Hike Pokhara- Peace Stupa Pokhara,,Day 6: Drive from Pokhara to Chitwan,,Day 7: Full day Jungle activities,,Day 8: Drive back from Chitwan to Kathmandu,,Day 9: Sightseeing tour of Bhaktapur ,,Day 10: Transfer to international airport for your final flight departure,"
Holy Lake Gosaikunda-Lauribina Pass 8 Nights / 9 Days Trek,https://www.tourradar.com/t/145201,"US,$,850",9 days,5.0,2,15,"Delve into village life at a mountain community,Savour traditional cheeses in Chandanbari,Visit the Tamang and Sherpa settlements,Venture to holy lakes named after Hindu deities","Day 01: Arrival in Kathmandu (1,300m/4,428ft) ,,Day 02: Kathmandu to Dhunche (1,960m) – 7 hrs ,,Day 3: Dhunche to Sing Gompa (3,3335m) – 4 to 5 hours trek,,Day 04: Sing Gompa to Gosaikunda (4380m) – 5/6 hrs trek,,Day 05: Gosaikunda to Ghopte (3,530m) – 7/8 hours ,,Day 06: Ghopte to Kutumsang (2,470m) – 5/6 hours ,,Day 07: Kutumsang to Chisapani (2,215m) – 4/5 hours walk ,,Day 08: Chisapani to Kathmandu – 4 hours trek and 40 minute drive,,Day 09 : Departure to your next destination,"
Kathmandu - Chitwan Nepal Tour - Experience Heritage &amp; Wildlife Safari,https://www.tourradar.com/t/155688,"US,$,786",7 days,5.0,3,10,,"Day 1: Arrival in Kathmandu,,Day 2: Sightseeing in Kathmandu,,Day 3: Sightseeing in Patan and Bhaktapur,,Day 4: Drive to Chitwan,,Day 5: Chitwan National Park,,Day 6: Drive back to Kathmandu,,Day 7: Departure to next destination,"
Annapurna Panorama Trek,https://www.tourradar.com/t/75652,"US,$,840",9 days,5.0,2,10,"Admire panoramic views of the sunset over Annapurna massifs,Climb through the colourful rhododendron forests,Fall in love with the tranquil lakeside paradise of Pokhara","Day 01: Arrive at Tribhuwan International Airport (TIA) Kathmandu,,Day 02: Kathmandu Valley Sightseeing Tour,,Day 03: Kathmandu to Pokhara (910m/2,984ft) Duration: 6 hrs,,Day 04: Pokhara to Tikhedhunga (1,570m/5,150ft) Duration: 4 hrs,,Day 05: Tikhedhunga to Ghorepani (2,850m/9,348ft) Duration: 7 hrs,,Day 06: Hike up to Poon Hill and onto Tadapani (2,610m/8,560ft) Duration: 7 - 8 hrs,,Day 07: Tadapani to Pokhara, 6 hours hike, an hour drive ,,Day 08: Pokhara to Kathmandu,,Day 09: Farewell,"
Everest Base Camp Trek and Fly Back by Heli,https://www.tourradar.com/t/187816,"US,$,4,550",11 days,5.0,2,5,,"Day 01: Arrival in Kathmandu (1300m) and transfer to hotel,,Day 02: Flight from Kathmandu to Lukla (35 min) and trek to Phakding (2651m)- 3 hrs,,Day 03: Trek from Phakding to Namche Bazaar (3440m) - 7 hrs,,Day 04: Acclimatization day in Namche,,Day 05: Trek to Tengboche (3870m)- 6 hrs,,Day 06: Trek to Dingboche (4360m)- 5 hrs,,Day 07: Second Acclimatization day in Dingboche,,Day 08: Trek to Lobuche (4940m) - 6 hrs,,Day 09: Trek to Gorakshep (5170m) and EBC- 8 hrs,,Day 10: Trek to Kalapathhar (5545m) for the most beautiful sunrise view and fly back to Kathmandu by Helicopter,,Day 11: Departure to your next destination,"
Himalayan trek with Everest view,https://www.tourradar.com/t/116398,"US,$,1,186",9 days,5.0,2,30,"Scenic Mountain flight to Lukla,Panoramic mountain views of Mt.. Everest, Lhotse, Thamserku, Amadlam,Explore the unique Sherpa culture and lifestyle,Explore the Beautiful Namche village the main town of Khumbu region","Day 01: Arrive at Kathmandu,,Day 02: Trek Preparation or Free day in Kathmandu,,Day 03: Kathmandu to Phakding via Lukla flight (2,652m) 3 hrs,,Day 04: Phakding to Namche Bazaar (3,440m) 5 - 6 hrs,,Day 05: Namche to Tengboche Trekking,,Day 06: Tengboche to Namche /Monjo,,Day 07: Namche/Monjo to Lukla,,Day 8: Lukla - Kathmandu,,Day 9: Farewell Travel Guest,"
Troop Up The Mardi Himal Trek,https://www.tourradar.com/t/159853,"US,$,880",11 days,5.0,2,20,," Day 1 : Arrival in Kathmandu (1400 m) (overnight at hotel with breakfast) ,,Day 2 : Fly to Pokhara (827m) ,,Day 3 : Drive to Phedi and trek to Pothana (1925m) 4 hrs (overnight in a hotel with breakfast, lunch, and dinner),,Day 4 : Trek to Forest Camp at Kokar (2600m) 4 hrs (overnight in a home with breakfast, lunch, and dinner),, Day 5 : Trek to Low Camp (3150m) 5 hrs (overnight in a home with breakfast, lunch, and dinner) ,,Day 6 : Trek to High Camp (3600m) 4 hrs (overnight in a hotel with breakfast, lunch, and dinner) ,,Day 7 :Day walk to Upper view point (4200m) 4 hrs (overnight in a hotel with breakfast, lunch, and dinner),, Day 7 :Trek to Lumre and drive to Pokhara (910m) 3 hours walking and 2 hours driving (overnight in a hotel with breakfast, lunch, and dinner),, Day 8 : Pokhara to Kathmandu and farewell dinner (overnight in a hotel with breakfast and dinner) ,,Day 9 : Departure from Kathmandu (1400 m) (breakfast and transportation are included),"
Nepal Vista Tour,https://www.tourradar.com/t/106725,"US,$,2,400",9 days,5.0,5,15,,"Day 1: Arrival at the Tribuwan International Airport in Kathmandu (1,345m),,Day 2: Sightseeing around the Kathmandu valley. Drive to the Nagarkot.,,Day 3: Drive to Pokhara on a private tourist car,,Day 4: Guided sightseeing in Pokhara,,Day 5: Drive to Sarankot for sunrise and mountain views, and then continue onto the Chitwan National Park,,Day 6: Activities in the Chitwan National Park,,Day 7:  More activities in Chitwan, and drive back to Kathmandu,,Day 8: Everest mountain flight and guided sightseeing in Kathmandu and farewell dinner,,Day 9: Transfer to the international airport for your final departure,"
Poon Hill &amp; Ghorepani Trek,https://www.tourradar.com/t/106579,"US,$,1,100",9 days,4.5,5,15,,"Day 1: Arrival at the Tribuwan International Airport in Kathmandu (1,345m),,Day 2: Drive to Pokhara by a tourist bus. 7 hrs.,,Day 3: Drive to Nayapul (1,010m) - 1.5 hrs Trek to Tikhedunga (1,570m) - 3 hrs,,Day 4: Trek to Ghorepani (2,840m) - 5 hrs,,Day 5: Hike up to Poon Hill (3,210m); and onto Tadapani (2,610m) - 6 hrs,,Day 6: Trek to Ghandruk (1,940m) - 4 hrs,,Day 7: Trek to Nayapul (1,010m)4hrs and 1.30hrs drive to Pokhara,,Day 8: Drive back to Kathmandu (1,345m) and farewell dinner,,Day 9: Transfer to the international airport for your final departure,"
Nar Phu Valley Trek,https://www.tourradar.com/t/111932,"US,$,999",9 days,4.7,3,6,,"Day 1:Drive to Koto (2,600m) 9 hours   Guest house,,Day 2:Trek to Meta (3,560m) 7 hours   Guest house,,Day 3:Trek to Phu (4,080m) 6 hours   Guest house,,Day 4:Exploring Phu:hours   Guest house,,Day 5:Trek to Nar Phedi (3,490m) 6hours   Guest house,,Day 6:Trek to Nar (4,110m)3hours   Guest house,,Day 7:Trek to Ngawal (3,675m) via the Kang La Pass (5,240m) 8hours   Guest house,,Day 8:Trek to Pisang and drive to Besisahar 7hours Guest house,,Day 9:Drive back to Kathmandu 7hours - Hostel,"
Ghorepani Poon Hill Trekking,https://www.tourradar.com/t/75647,"US,$,740",8 days,4.9,4,20,"Fall in love with the tranquil lakeside paradise of Pokhara,Enjoy the trails decorated with colourful Rhododendron flowers,Be amazed by the incredible mountain vistas from Poon Hill","Day 01 : Arrive at Tribhuwan International Airport (TIA) Kathmandu,,Day 02 : Kathmandu to Pokhara (910m) Duration: 6 hours drive,,Day 03 : Pokhara to Tikhedhunga (1570m) Duration: 1 hour drive and 4 walking,,Day 04 : Tikhedhunga to Ghorepani (2850m) Duration: 7-8 hours walking,,Day 05 : Hike up to Poon Hill (3,210m/10529ft) and onto Tadapani (2,610m/8560ft) Duration: 7 hours walking,,Day 06 : Tadapani to Pokhara (910m) Duration: 7 hours walking and 1 hour drive,,Day 07 : Pokhara to Kathmandu (1337m) Duration: 6 hours drive,,Day 08 : Farewell,"
Highlights of Nepal - 9 days,https://www.tourradar.com/t/107368,"US,$,1,385",9 days,5.0,4,15,"Rickshaw ride through the city, explore Durbar Square and visit Swayambhunath Stupa,Go on a jeep safari in Chitwan, home to the one-horned rhino and the elusive Bengal tiger,Visit the World Peace Pagoda and go boating on Lake Phewa in beautiful Pokhara","Day 1: Kathmandu,,Day 2: Patan,,Day 3-4: Chitwan National Park,,Day 5: Pokhara,,Day 6: Pokhara,,Day 7: Pokhara,,Day 8: Kathmandu,,Day 9: Kathmandu,"
Everest Short Trek -5 Days,https://www.tourradar.com/t/143837,"US,$,890",5 days,4.5,3,6,,"Day 01: Kathmandu (Tribhuvan Int´l Airport) to Lukla (Tenzing Hillary Airport) early morning 30 minutes scenic flight and trek to Phakding 2,612 m/8,570 ft - 03/4 hrs.,,Day 02: Trek to Namche Bazaar 3,440 m/11,287 ft via Sagarmatha National Park - 06/7 hrs.,,Day 03: Trek to Everest View point hotel 3,800 m/12,467 ft, back to Namche - 04/5 hrs.,,Day 04: Trek to Lukla 2,860 m/ 9,383 ft- 06/7 hrs.,,Day 05: Lukla (Tenzing Hillary Airport) to Kathmandu (Tribhuvan Int´l Airport) fly back.,"
Poon Hill Trek: Best Short Trek in Nepal,https://www.tourradar.com/t/174200,"US,$,499",8 days,5.0,1,16,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: Drive to Pokhara from Kathmandu: 200 km/ 5-6 hours drive,,Day 3: Drive from Pokhara to Nayapool and Trek to Tikhedunga: 1 Hour drive/3-4 Hours Trek,,Day 4: Trek from Tikhedhunga to Ghorepani: 5-6 Hours trek,,Day 5: Hike to Poon Hill (3210 meter) and trek to Tadapani (2675 meter): 5-6 hours trek,,Day 6: Trek from Tadapani to Ghandruk and drive back to Pokhara: 3-4 Hours trek/3 hours drive,,Day 7: Drive to Kathmandu from Pokhara: 200 km/ 5-6 hours drive,,Day 8: Departure day: transfer to the international airport for your final departure!!,"
Everest View Trek,https://www.tourradar.com/t/135606,"US,$,899",5 days,4.9,4,12,,"Day 1: Arrival in Kathmandu and transfer to respective hotel.,,Day 2: Kathmandu to Lukla Scenic Flight and short trek to Phakding 2810m)- 4/5 hrs walk approx,,Day 3: Trek to Namche Bazaar 3,450 m /11,315 ft- 6 hrs walk.,,Day 4: Trek to Lukla 2,850m/9,350ft- 6hrs,,Day 5: Fly back from  Lukla to Kathmandu 35minutes.,"
One Week in Nepal,https://www.tourradar.com/t/16565,"US,$,690",8 days,4.7,7,16,,"Day 1: Kathmandu,,Day 2: Trisuli River,,Day 3: Trisuli River - Pokhara,,Day 4: Ghandruk (1950m / 6397ft),,Day 5: Tolkha (1700m / 5577ft),,Day 6: Hemjakot (1530m / 5019ft),,Day 7: Pokhara ,,Day 8: Kathmandu ,"
Langtang Short Trek,https://www.tourradar.com/t/187398,"US,$,540",7 days,5.0,2,10,,"Drive from Kathmandu to Syabrubesi ,,Trek from Syabrubesi to Lama Hotel ,,Trek from Lama Hotel to Langtang Village ,,Trek from Langtang Village to Kyanjin Gompa ,,Hike from Kyanjin Ri to Kyanjin Gompa and Trek to Lama Hotel ,,Trek from Lama hotel to Syabrubesi ,,Drive from Syabrubesi to Kathmandu ,"
Langtang valley Trek 9 Nights/ 10 Days,https://www.tourradar.com/t/140582,"US,$,1,499",10 days,4.8,4,10,"Pass through stunning forests and alpine meadows,Enjoy panoramic views across vast open valleys,Listen the sound of nature and chirping birds,Tantalise your tastebuds and try the local yak cheese","Day 1: Arrival in Kathmandu,,Day 2:  Drive from Kathmandu to Syabrubeshi ,,Day 3: Trek from Syabrubeshi to Lama Hotel ,,Day 4:  Trek from Lama Hotel to Langtang valley ,,Day 5:  Trek from Langtang Valley to Kyanjin Gompa ,,Day 6:  Explore around Kyanjin Gompa and climb to Tsego Ri ,,Day 7:  Trek Kyanjin Gompa to Ghoda Tabala ,,Day 8:  Trek back from Ghoda Tabela to Syabrubeshi ,,Day 9:  Drive Syabrubeshi to Kathmandu ,,Day 10: Final Departure to your destination,"
